"",,64,Hepatopancreas (cooked);,,(1991)
"",,,mean values (n-20),,
Homarvs americanus,Alexandrium tamarense,1654,Hepatopancreas (raw),"Cutler, Maine",Hurst (unpublished)
"",,540,Hepatopancreas (cooked),,
"",,ND,Muscle,,
Homarus americanus,Alexandrium tamarense,1512,Hepatopancreas,"Bay of Gaspe,",Desblens and Cembella
"",,,(bioassay),Canada,(1995)
"",,961,Hepatopancreas (HPLC),,
"",,69,Meat (HPLC),,
Homarus americanus,Alexandrium tamarense,275-3200,Hepatopancreas,Laboratory study; fed,Hayaetal. (1992)
"",,ND,Tail muscle,toxic scallop viscera,
Spiny lobster,Pseudonitzschia,12 ppm DAd,Gut,"Pacific Coast, USA",DFO (1992); Villac et al
"",P. delicatissima,,,,(1993); Anon. (1992)
"",Others ?,,,,
SHRIMP,,,,,
Penacidae,Pyrodinium bahamense,175MU100g-',Frozen tails for export,"Sabah, Malaysia",Sang and Ming (1984)
"",,268MU100g-',Body only,,
Penaeid prawn,Pyrodinium bahamense,190 MU 100 g-1,Not specified,Brunei Darussalam,Jaafar and Subramaniam
"",,,,,(1984)
HORSESHOE CRAB,,,,,
Carcinoscorpius,Unknown,25 MU 100 g-',"Exoskeleton, muscle",Thailand,Fusetani et al. (1982)
rotundicauda,(resembles STX),65 MU 100 g-1,Eggs,,
"",,75 MU 100 9-',Hepatopancreas,,
"",,10 MU 100 g-1,Stomach and contents,,
"",,85 MU 100 g-1,Gills,,
"",,50 MU 100 g-',Coelomlo fluid,,
"",,35 MU 100 g-1,Tail,,
"",Tetrodotoxin,16 MU g-1,Eggs; some STX/,Gulf of Thai,Kungsuwan et al. (1987)
"",,,neoSTX also present;,,
"",,,human illnesses,,
"",Tetrodotoxin,65 MU g-1,Hepatopancreas,Thailand,Saitanu et al. (1987)
