"comm_name","species","n","type","class","order","family","genus"
"Abalone","Haliotis tuberculata",1,"invert","Gastropoda","Patellogastropoda","Haliotidae","Haliotis"
"Amazon puffer","Colomesus asellus",1,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Colomesus"
"American lobster","Homarus americanus",3,"invert","Malacostraca","Decapoda","Nephropidae","Homarus"
"Ancilla volute","Adelomelon ancilla",1,"invert","Gastropoda","Neogastropoda","Volutidae","Adelomelon"
"Argobuccinum whelk","Argobuccinum sp.",2,NA,NA,NA,NA,"Argobuccinum"
"Arrowhead puffer","Pao suvattii",4,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Pao"
"Arthritic neptune","Neptunea arthritica",1,"invert","Gastropoda","Neogastropoda","Buccinidae","Neptunea"
"Asian shore crab","Hemigrapsus sanguineus",1,"invert","Malacostraca","Decapoda","Varunidae","Hemigrapsus"
"Atlantic mackerel","Scomber scombrus",2,"fish","Actinopterygii","Perciformes","Scombridae","Scomber"
"Bandtail puffer fish","Sphoeroides spengleri",1,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Sphoeroides"
"Barnacle rock shell","Concholepas concholepas",1,"invert","Gastropoda","Neogastropoda","Muricidae","Concholepas"
"Barnacles","Balanus spp.",1,NA,NA,NA,NA,"Balanus"
"Basket shell","Nassarius conoidalis",1,"invert","Gastropoda","Neogastropoda","Nassariidae","Nassarius"
"Black spotted puffer","Arothron nigropunctatus",1,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Arothron"
"Blue manna crab","Portunus pelagicus",4,"invert","Malacostraca","Decapoda","Portunidae","Portunus"
"Brazilian volute","Pachycymbiola brasiliana",1,"invert","Gastropoda","Neogastropoda","Volutidae","Pachycymbiola"
"Brown puffer","Pao turgidus",4,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Pao"
"Burned nassa","Nassarius siquijorensis",1,"invert","Gastropoda","Neogastropoda","Nassariidae","Nassarius"
"Busycon whelk","Busycon spp.",1,NA,NA,NA,NA,"Busycon"
"Calf moon shell","Natica vitellus",1,"invert","Gastropoda","Neotaenioglossa","Naticidae","Natica"
"Checkered puffer fish","Sphoeroides testudineus",2,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Sphoeroides"
"Chub mackerel","Scomber japonicus",3,"fish","Actinopterygii","Perciformes","Scombridae","Scomber"
"Chum salmon","Oncorhynchus keta",2,"fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus"
"Cochin puffer","Pao cochinchinensis",1,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Pao"
"Commercial top shell","Rochia nilotica",1,NA,NA,NA,NA,"Rochia"
"Common hairy crab","Pilumnus vespertilio",2,"invert","Malacostraca","Decapoda","Pilumnidae","Pilumnus"
"Crab",NA,1,NA,NA,NA,NA,NA
"Dungeness crab","Metacarcinus magister",1,"invert","Malacostraca","Decapoda","Cancridae","Metacarcinus"
"Edible shore crab","Telmessus acutidens",1,NA,NA,NA,NA,"Telmessus"
"Eyelash spider crab","Schizophrys aspera",1,"invert","Malacostraca","Decapoda","Majidae","Schizophrys"
"Fenestrate top shell","Tectus fenestratus",1,"invert","Gastropoda","Archaeogastropoda","Trochidae","Tectus"
"File dog winkle","Nucella lima",1,"invert","Gastropoda","Neogastropoda","Muricidae","Nucella"
"Fine patterned puffer","Takifugu poecilonotus",1,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Takifugu"
"Gammarid amphipod","Anonyx sarsi",1,"invert","Malacostraca","Amphipoda","Uristidae","Anonyx"
"Green shore crab","Hemigrapsus oregonensis",1,"invert","Malacostraca","Decapoda","Varunidae","Hemigrapsus"
"Hairy crab","Pilumnus pulcher",1,"invert","Malacostraca","Decapoda","Pilumnidae","Pilumnus"
"Hermit crab","Pagurus sp.",1,NA,NA,NA,NA,"Pagurus"
"Jonah crab","Cancer borealis",1,"invert","Malacostraca","Decapoda","Cancridae","Cancer"
"Knobsnout parrotfish","Scarus ovifrons",2,"fish","Actinopterygii","Perciformes","Scaridae","Scarus"
"Lewis moon snail","Neverita lewisii",1,"invert","Gastropoda","Neotaenioglossa","Naticidae","Neverita"
"Lined moon shell","Natica lineata",1,"invert","Gastropoda","Neotaenioglossa","Naticidae","Natica"
"Longlegged spiny lobster","Panulirus longipes",2,"invert","Malacostraca","Decapoda","Palinuridae","Panulirus"
"Mangrove crabs",NA,2,NA,NA,NA,NA,NA
"Mangrove horseshoe gills","Carcinoscorpius rotundicauda",1,"invert","Merostomata","Xiphosura","Limulidae","Carcinoscorpius"
"Mangrove shore crab","Metopograpsus frontalis",1,"invert","Malacostraca","Decapoda","Grapsidae","Metopograpsus"
"Map puffer","Arothron mappa",1,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Arothron"
"Marbled turban","Turbo marmoratus",1,"invert","Gastropoda","Patellogastropoda","Turbinidae","Turbo"
"Milk-spotted puffer","Chelonodon patoca",5,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Chelonodon"
"Narrow-lined puffer","rothron manilensis",1,NA,NA,NA,NA,"rothron"
"Nashifugu puffer","Takifugu radiatus",1,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Takifugu"
"Nassa","Nassarius spp.",3,"invert","Gastropoda","Neogastropoda","Nassariidae","Nassarius"
"Nassa","Nassarius succinctus",1,"invert","Gastropoda","Neogastropoda","Nassariidae","Nassarius"
"Nassa mud snail (dog whelk)","Nassarius sp.",1,"invert","Gastropoda","Neogastropoda","Nassariidae","Nassarius"
"Neptunea snails","Neptunea spp.",1,"invert","Gastropoda","Neogastropoda","Buccinidae","Neptunea"
"Northern kelp crab","Pugettia producta",3,"invert","Malacostraca","Decapoda","Epialtidae","Pugettia"
"Northern moon snail","Euspira heros",3,"invert","Gastropoda","Neotaenioglossa","Naticidae","Euspira"
"Ocellated puffer","Tetraodon cutcutia",7,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Tetraodon"
"Olive","Oliva vidua",1,"invert","Gastropoda","Neogastropoda","Olividae","Oliva"
"Oyster drill","Thais lamellosa",1,"invert","Gastropoda","Neogastropoda","Muricidae","Thais"
"Oyster drill","Thais sp.",1,"invert","Gastropoda","Neogastropoda","Muricidae","Thais"
"Pacific cod","Gadus macrocephalus",2,"fish","Actinopterygii","Gadiformes","Gadidae","Gadus"
"Pacific saury","Cololabis saira",1,"fish","Actinopterygii","Beloniformes","Scomberesocidae","Cololabis"
"Painted spiny lobster","Panulirus versicolor",2,"invert","Malacostraca","Decapoda","Palinuridae","Panulirus"
"Panther puffer","Takifugu pardalis",1,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Takifugu"
"Pea crab","Fabia subquadrata",1,"invert","Malacostraca","Decapoda","Pinnotheridae","Fabia"
"Penaeid shrimp","Penaeid spp.",3,NA,NA,NA,NA,"Penaeid"
"Purple puffer","Takifugu vermicularis",1,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Takifugu"
"Purple shore crab","Hemigrapsus nudus",1,"invert","Malacostraca","Decapoda","Varunidae","Hemigrapsus"
"Purpura","Nucella lapillus",1,"invert","Gastropoda","Neogastropoda","Muricidae","Nucella"
"Pyram top shell","Tectus pyramis",1,"invert","Gastropoda","Archaeogastropoda","Trochidae","Tectus"
"Red rock crab","Cancer productus",2,"invert","Malacostraca","Decapoda","Cancridae","Cancer"
"Red swamp crayfish","Procambarus clarkii",1,NA,NA,NA,NA,"Procambarus"
"Reticulated puffer","Arothron reticularis",1,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Arothron"
"Sally lightfoot crab","Percnon planissimum",1,"invert","Malacostraca","Decapoda","Plagusiidae","Percnon"
"Salmon shark","Lamna ditropis",1,"fish","Elasmobranchii","Lamniformes","Lamnidae","Lamna"
"Sardinella","Sardinella sp.",2,NA,NA,NA,NA,"Sardinella"
"Short mackerel","Rastrelliger sp.",1,NA,NA,NA,NA,"Rastrelliger"
"Silver-mouthed turban","Turbo argyrostomus",1,"invert","Gastropoda","Patellogastropoda","Turbinidae","Turbo"
"Sitka periwinkle","Littorina sitkana",1,"invert","Gastropoda","Neotaenioglossa","Littorinidae","Littorina"
"Slipper limpet","Crepidula fornicata",1,"invert","Gastropoda","Neotaenioglossa","Calyptraeidae","Crepidula"
"Southern puffer fish","Sphoeroides nephelus",2,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Sphoeroides"
"Spider conch","Lambis lambis",1,"invert","Gastropoda","Neotaenioglossa","Strombidae","Lambis"
"Starry puffer","Arothron stellatus",1,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Arothron"
"Starry toado","Arothron firmamentum",1,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Arothron"
"Stimpson's colus","Colus stimpsoni",1,"invert","Gastropoda","Neogastropoda","Buccinidae","Colus"
"Striped shore crab","Pachygrapsus crassipes",1,"invert","Malacostraca","Decapoda","Grapsidae","Pachygrapsus"
"Tekuyong","Natica sp.",1,"invert","Gastropoda","Neotaenioglossa","Naticidae","Natica"
"Ten-ridged whelk","Neptunea decemcostata",2,"invert","Gastropoda","Neogastropoda","Buccinidae","Neptunea"
"Trophon","Trophon sp.",1,NA,NA,NA,NA,"Trophon"
"Trumpet shell","Charonia lampas",1,"invert","Gastropoda","Neotaenioglossa","Ranellidae","Charonia"
"Veined rapa whelk","Rapana venosa",1,"invert","Gastropoda","Neogastropoda","Muricidae","Rapana"
"Volute","Zidona dufresnii",3,NA,NA,NA,NA,"Zidona"
"Waved whelk","Buccinum undatum",3,"invert","Gastropoda","Neogastropoda","Buccinidae","Buccinum"
"White-spotted puffer","Arothron hispidus",1,"fish","Actinopterygii","Tetraodontiformes","Tetraodontidae","Arothron"
"Xanthid crab","Actaeodes tomentosus",1,"invert","Malacostraca","Decapoda","Xanthidae","Actaeodes"
"Xanthid crab","Atergatis floridus",4,"invert","Malacostraca","Decapoda","Xanthidae","Atergatis"
"Xanthid crab","Atergatopsis germaini",1,"invert","Malacostraca","Decapoda","Xanthidae","Atergatopsis"
"Xanthid crab","Demania reynaudii",1,NA,NA,NA,NA,"Demania"
"Xanthid crab","Eriphia scabricula",1,"invert","Malacostraca","Decapoda","Eriphiidae","Eriphia"
"Xanthid crab","Eriphia sebana",1,"invert","Malacostraca","Decapoda","Eriphiidae","Eriphia"
"Xanthid crab","Euxanthus exsculptus",1,"invert","Malacostraca","Decapoda","Xanthidae","Euxanthus"
"Xanthid crab","Juxtaxanthias lividus",1,"invert","Malacostraca","Decapoda","Xanthidae","Juxtaxanthias"
"Xanthid crab","Lophozozymus octodentatus",1,"invert","Malacostraca","Decapoda","Xanthidae","Lophozozymus"
"Xanthid crab","Lophozozymus pictor",2,"invert","Malacostraca","Decapoda","Xanthidae","Lophozozymus"
"Xanthid crab","Neoxanthias impressus",2,"invert","Malacostraca","Decapoda","Xanthidae","Neoxanthias"
"Xanthid crab","Platypodia granulosa",1,"invert","Malacostraca","Decapoda","Xanthidae","Platypodia"
"Xanthid crab","Platypodia pseudogranulosa",1,"invert","Malacostraca","Decapoda","Xanthidae","Platypodia"
"Xanthid crab","Zosimus aeneus",7,"invert","Malacostraca","Decapoda","Xanthidae","Zosimus"
