,,Day,Brevetoxin_ng_g
Oyster,0,0,0
Oyster,1,5,1986
Oyster,2,9,1126
Oyster,3,14,437
Oyster,4,21,350
Oyster,5,30,250
Oyster,6,45,200
Oyster,7,60,150
Oyster,8,82,117
Clam,0,0,0
Clam,1,3,551
Clam,2,5,1000
Clam,3,9,1002
Clam,4,14,204
Clam,5,21,150
Clam,6,30,110
Clam,7,60,90
Clam,8,90,70
Clam,9,130,60
Clam,10,139,58
