day,species,toxicity
0,STX,10
2,STX,20
4,STX,25
6,STX,30
8,STX,35
10,STX,28
12,STX,25
14,STX,20
16,STX,18
18,STX,10
0,neoSTX,15
2,neoSTX,20
4,neoSTX,25
6,neoSTX,30
8,neoSTX,35
10,neoSTX,28
12,neoSTX,25
14,neoSTX,22
16,neoSTX,20
18,neoSTX,15
0,GTX2+3,10
2,GTX2+3,10
4,GTX2+3,15
6,GTX2+3,20
8,GTX2+3,25
10,GTX2+3,20
12,GTX2+3,18
14,GTX2+3,15
16,GTX2+3,12
18,GTX2+3,10
0,GTX1+4,15
2,GTX1+4,15
4,GTX1+4,18
6,GTX1+4,22
8,GTX1+4,25
10,GTX1+4,22
12,GTX1+4,20
14,GTX1+4,18
16,GTX1+4,16
18,GTX1+4,12
0,C1+2,20
2,C1+2,25
4,C1+2,30
6,C1+2,35
8,C1+2,40
10,C1+2,30
12,C1+2,28
14,C1+2,25
16,C1+2,20
18,C1+2,15
0,Total,70
2,Total,90
4,Total,113
6,Total,137
8,Total,160
10,Total,128
12,Total,116
14,Total,100
16,Total,86
18,Total,62
