species,toxin,day,treatment,toxicity
Pacfiic oyster (diploid),"GTX1,4",0,22,160
Pacfiic oyster (diploid),"GTX1,4",0,27,100
Pacfiic oyster (diploid),"GTX1,4",1,22,50
Pacfiic oyster (diploid),"GTX1,4",1,27,30
Pacfiic oyster (diploid),"GTX2,3",0,22,150
Pacfiic oyster (diploid),"GTX2,3",0,27,150
Pacfiic oyster (diploid),"GTX2,3",1,22,100
Pacfiic oyster (diploid),"GTX2,3",1,27,80
Sydney rock oyster,"GTX1,4",0,22,50
Sydney rock oyster,"GTX1,4",0,27,30
Sydney rock oyster,"GTX1,4",1,22,15
Sydney rock oyster,"GTX1,4",1,27,10
Sydney rock oyster,"GTX2,3",0,22,50
Sydney rock oyster,"GTX2,3",0,27,40
Sydney rock oyster,"GTX2,3",1,22,35
Sydney rock oyster,"GTX2,3",1,27,30
Pacfiic oyster (triploid),"GTX1,4",0,22,45
Pacfiic oyster (triploid),"GTX1,4",0,27,45
Pacfiic oyster (triploid),"GTX1,4",1,22,25
Pacfiic oyster (triploid),"GTX1,4",1,27,20
Pacfiic oyster (triploid),"GTX2,3",0,22,60
Pacfiic oyster (triploid),"GTX2,3",0,27,70
Pacfiic oyster (triploid),"GTX2,3",1,22,30
Pacfiic oyster (triploid),"GTX2,3",1,27,45
