toxin,species,date,toxicity,toxicity_sd,day
GTX6,Mussel,1/9/25,7.56,0.8,0
GTX6,Cockle,1/9/25,11.9,0.62,0
GTX6,Razor shell,1/9/25,1.67,0.1,0
C1+2,Mussel,1/9/25,7.063,0.62,0
C1+2,Cockle,1/9/25,13.3,1.5,0
C1+2,Razor shell,1/9/25,1.05,0.15,0
GTX5,Mussel,1/9/25,3.06,0.063,0
GTX5,Cockle,1/9/25,3.55,0.55,0
GTX5,Razor shell,1/9/25,1.18,0.085,0
C3+4,Mussel,1/9/25,4.13,0.3,0
C3+4,Cockle,1/9/25,4.87,0.00091,0
C3+4,Razor shell,1/9/25,0.768,0.04,0
dcSTX,Mussel,1/9/25,0.957,0.092,0
dcSTX,Cockle,1/9/25,0.721,0.039,0
dcSTX,Razor shell,1/9/25,0.306,0.0094,0
dcGTX2+3,Mussel,1/9/25,0.44,0.024,0
dcGTX2+3,Cockle,1/9/25,1.33,0.034,0
dcGTX2+3,Razor shell,1/9/25,0.408,0,0
dcNEO,Mussel,1/9/25,0.73,0.03,0
dcNEO,Cockle,1/9/25,0.861,0.026,0
dcNEO,Razor shell,1/9/25,NA,NA,0
GTX6,Mussel,1/16/25,5.88,0.14,7
GTX6,Cockle,1/16/25,2.24,0.24,7
GTX6,Razor shell,1/16/25,1.15,0.074,7
C1+2,Mussel,1/16/25,5.52,0.041,7
C1+2,Cockle,1/16/25,5.57,0.68,7
C1+2,Razor shell,1/16/25,1.8,0.029,7
GTX5,Mussel,1/16/25,1.76,0.25,7
GTX5,Cockle,1/16/25,1.78,0.24,7
GTX5,Razor shell,1/16/25,1.11,0.051,7
C3+4,Mussel,1/16/25,2.66,0.43,7
C3+4,Cockle,1/16/25,0.814,0.15,7
C3+4,Razor shell,1/16/25,0.713,0.01,7
dcSTX,Mussel,1/16/25,0.309,0.017,7
dcSTX,Cockle,1/16/25,0.249,0.018,7
dcSTX,Razor shell,1/16/25,0.237,0.033,7
dcGTX2+3,Mussel,1/16/25,0.0977,0,7
dcGTX2+3,Cockle,1/16/25,0.0769,0.034,7
dcGTX2+3,Razor shell,1/16/25,0.39,0.078,7
dcNEO,Mussel,1/16/25,0.101,0.023,7
dcNEO,Cockle,1/16/25,NA,NA,7
dcNEO,Razor shell,1/16/25,NA,NA,7
GTX6,Mussel,1/23/25,6.7,0.21,14
GTX6,Cockle,1/23/25,0.678,0.092,14
GTX6,Razor shell,1/23/25,0.198,0.064,14
C1+2,Mussel,1/23/25,6.13,0.88,14
C1+2,Cockle,1/23/25,6.89,0.64,14
