day,species,toxicity,toxicity_sd
3,OA,1500,700
5,OA,2800,700
8,OA,2000,800
14,OA,1700,300
20,OA,600,200
3,DTX1,700,400
5,DTX1,1200,400
8,DTX1,800,400
14,DTX1,900,200
20,DTX1,700,100
