"syndrome","type","label","comm_name","sci_name","prod_mt"
"Cyanotoxin","Order","Mytiloida","Greenshell mussel","Perna canaliculus",93505.6421
"Cyanotoxin","Order","Veneroida","Atlantic surfclam","Spisula solidissima",72362.4296
"Cyanotoxin","Order","Veneroida","Striped venus","Chamelea gallina",43874.5854
"Cyanotoxin","Order","Veneroida","Ocean quahog","Arctica islandica",42782.4
"Cyanotoxin","Order","Ostreoida","Patagonian scallop","Zygochlamys patagonica",35464.0621
"Cyanotoxin","Order","Veneroida","Stimpson's surf clam","Mactromeris polynyma",33787.0124
"Cyanotoxin","Order","Veneroida","Northern quahog","Mercenaria mercenaria",33518.9844
"Cyanotoxin","Order","Ostreoida","King scallop","Pecten maximus",33322.3964
"Cyanotoxin","Order","Mytiloida","Green-lipped mussel","Perna viridis",19285.2399
"Cyanotoxin","Order","Mytiloida","Brown mussel","Perna perna",13713.8464
"Cyanotoxin","Order","Veneroida","Taca clam","Leukoma thaca",11899.6
"Cyanotoxin","Order","Ostreoida","European flat oyster","Ostrea edulis",10605.5388
"Diarrhetic","Order","Veneroida","Constricted tagelus","Sinonovacula constricta",1191289
"Diarrhetic","Order","Ostreoida","Japanese scallop","Mizuhopecten yessoensis",505765.2914
"Diarrhetic","Order","Arcoida","Blood cockle","Tegillarca granosa",375655.7404
"Diarrhetic","Order","Mytiloida","Chilean mussel","Mytilus chilensis",348454.816
"Diarrhetic","Order","Ostreoida","Atlantic sea scallop","Placopecten magellanicus",217492.0524
"Diarrhetic","Order","Mytiloida","Greenshell mussel","Perna canaliculus",93505.6421
"Diarrhetic","Order","Veneroida","Atlantic surfclam","Spisula solidissima",72362.4296
"Diarrhetic","Order","Ostreoida","Peruvian calico scallop","Argopecten purpuratus",70231.8531
"Diarrhetic","Order","Ostreoida","King scallop","Pecten maximus",62203.4803
"Diarrhetic","Order","Mytiloida","Korean mussel","Mytilus coruscus",57949.9295
"Diarrhetic","Order","Veneroida","Striped venus","Chamelea gallina",46111.8277
"Diarrhetic","Order","Veneroida","Ocean quahog","Arctica islandica",42797.3673
"Diarrhetic","Order","Ostreoida","Patagonian scallop","Zygochlamys patagonica",35464.0621
"Diarrhetic","Order","Veneroida","Stimpson's surf clam","Mactromeris polynyma",33787.0124
"Diarrhetic","Genus","Magallana","Pacific oyster","Magallana gigas",621506.9409
"Diarrhetic","Genus","Magallana","Slipper cupped oyster","Magallana bilineata",35997.7157
"Neurotoxic","Order","Veneroida","Japanese carpet shell","Ruditapes philippinarum",3813630.0045
"Neurotoxic","Order","Veneroida","Constricted tagelus","Sinonovacula constricta",1191289
"Neurotoxic","Order","Ostreoida","Japanese scallop","Mizuhopecten yessoensis",500731.9
"Neurotoxic","Order","Arcoida","Blood cockle","Tegillarca granosa",357076.8
"Neurotoxic","Order","Mytiloida","Chilean mussel","Mytilus chilensis",348454.816
"Neurotoxic","Order","Ostreoida","Atlantic sea scallop","Placopecten magellanicus",163348.31
"Neurotoxic","Order","Mytiloida","Greenshell mussel","Perna canaliculus",93505.6421
"Neurotoxic","Order","Mytiloida","Blue mussel","Mytilus edulis",81473.479
"Neurotoxic","Order","Mytiloida","Mediterranean mussel","Mytilus galloprovincialis",73538.4349
"Neurotoxic","Order","Veneroida","Atlantic surfclam","Spisula solidissima",71812.3
"Neurotoxic","Order","Ostreoida","King scallop","Pecten maximus",61049.5359
"Neurotoxic","Order","Veneroida","Striped venus","Chamelea gallina",45736.2018
"Neurotoxic","Order","Veneroida","Ocean quahog","Arctica islandica",42782.4
"Neurotoxic","Order","Veneroida","Common cockle","Cerastoderma edule",14347.5625
"Neurotoxic","Order","Veneroida","Taca clam","Leukoma thaca",11899.6
"Neurotoxic","Order","Ostreoida","European flat oyster","Ostrea edulis",11013.0634
"Neurotoxic","Order","Ostreoida","Queen scallop","Aequipecten opercularis",8988.1661
"Neurotoxic","Genus","Magallana","Pacific oyster","Magallana gigas",293104.0471
"Paralytic","Order","Veneroida","Constricted tagelus","Sinonovacula constricta",1191289
"Paralytic","Order","Arcoida","Blood cockle","Tegillarca granosa",453602.6003
"Paralytic","Order","Ostreoida","Peruvian calico scallop","Argopecten purpuratus",70231.8531
"Paralytic","Order","Ostreoida","King scallop","Pecten maximus",62203.4803
"Paralytic","Order","Veneroida","Ocean quahog","Arctica islandica",42797.3673
"Paralytic","Order","Ostreoida","Patagonian scallop","Zygochlamys patagonica",35464.0621
