"model","r2","r2_se","r2_lo","r2_hi","elpd_loo","elpd_loo_sd","p_loo","p_loo_sd","looic","looic_loo_sd"
"Fixed effects only",0.470567060113704,0.0425639232258886,0.378789223671625,0.544721816178359,-253.316961772856,9.87832566243162,15.064420920663,1.97800282882853,506.633923545712,19.7566513248632
"Phylogenetic random effects",0.684417064100155,0.0356516568894365,0.600924549134248,0.742016261279005,-224.673695456906,10.1555955693032,31.4272594021419,5.05463759702571,449.347390913813,20.3111911386063
"Non-phylogenetic random effects",0.702712451013616,0.0311729657154837,0.632224017344738,0.754505048546979,-222.378812932014,10.0418965454637,33.1335764322527,4.33692503171917,444.757625864028,20.0837930909273
"Taxanomically nested random effects",0.708327879740421,0.0285647539472967,0.64418198945913,0.755705947644313,-220.465604735325,9.84089131344357,31.8126809757351,3.95551980307676,440.93120947065,19.6817826268871
