"catg","nharvested","nspecies","type"
"Tonnidae",1,24,"Family"
"Tridacnidae",1,5,"Family"
"Trochidae",2,375,"Family"
"Turbinidae",2,242,"Family"
"Veneridae",22,428,"Family"
"Volutidae",2,94,"Family"
"Acanthocardia",2,7,"Genus"
"Aequipecten",2,8,"Genus"
"Aliger",1,NA,"Genus"
"Anadara",5,41,"Genus"
"Aporrhais",1,3,"Genus"
"Aptyxis",1,NA,"Genus"
"Arca",2,16,"Genus"
"Arctica",1,1,"Genus"
"Argopecten",3,9,"Genus"
"Asaphis",1,3,"Genus"
"Atrina",1,16,"Genus"
"Aulacomya",1,3,"Genus"
"Austrofusus",1,NA,"Genus"
"Austrovenus",1,1,"Genus"
"Babelomurex",1,40,"Genus"
"Babylonia",1,6,"Genus"
"Bolinus",1,2,"Genus"
"Bostrycapulus",1,5,"Genus"
"Buccinum",1,68,"Genus"
"Busycon",1,9,"Genus"
"Busycotypus",1,3,"Genus"
"Calliostoma",1,163,"Genus"
"Callista",1,13,"Genus"
"Calyptraea",1,7,"Genus"
"Capulus",1,13,"Genus"
"Cerastoderma",2,5,"Genus"
"Cerithium",1,63,"Genus"
"Chamelea",1,3,"Genus"
"Charonia",1,4,"Genus"
"Chlamys",1,51,"Genus"
"Choromytilus",1,1,"Genus"
"Cittarium",1,1,"Genus"
"Clinocardium",1,5,"Genus"
"Concholepas",1,1,"Genus"
"Crassostrea",4,24,"Genus"
"Crassula",1,NA,"Genus"
"Crepidula",1,45,"Genus"
"Cyclina",1,1,"Genus"
"Cymbium",1,5,"Genus"
"Cyrtodaria",1,2,"Genus"
"Dallocardia",1,NA,"Genus"
"Donax",3,32,"Genus"
"Dosinia",1,34,"Genus"
"Ensis",5,11,"Genus"
"Fasciolaria",1,8,"Genus"
"Flexopecten",1,4,"Genus"
"Gafrarium",1,10,"Genus"
"Galeodea",2,6,"Genus"
"Geukensia",1,2,"Genus"
"Gibbula",1,32,"Genus"
"Glycymeris",3,37,"Genus"
"Haliotis",7,47,"Genus"
"Hexaplex",1,13,"Genus"
"Hiatula",1,5,"Genus"
"Hippopus",1,2,"Genus"
"Iliochione",1,NA,"Genus"
"Laevicardium",1,18,"Genus"
"Lambis",1,8,"Genus"
"Larkinia",1,NA,"Genus"
"Leukoma",2,3,"Genus"
"Lima",1,22,"Genus"
"Limaria",1,18,"Genus"
"Lithophaga",1,30,"Genus"
"Littorina",1,30,"Genus"
"Lunarca",1,1,"Genus"
"Lutraria",1,11,"Genus"
"Mactra",1,39,"Genus"
"Mactromeris",1,3,"Genus"
"Magallana",3,NA,"Genus"
"Melongena",2,5,"Genus"
"Mercenaria",2,2,"Genus"
"Meretrix",1,5,"Genus"
"Mesodesma",1,4,"Genus"
"Mimachlamys",1,8,"Genus"
"Mizuhopecten",1,1,"Genus"
"Modiolus",1,36,"Genus"
"Monoplex",1,NA,"Genus"
"Murex",1,30,"Genus"
"Mya",1,13,"Genus"
"Mytella",2,4,"Genus"
"Mytilus",7,12,"Genus"
"Nodipecten",1,5,"Genus"
"Ostrea",3,20,"Genus"
"Panopea",2,11,"Genus"
"Paphies",1,4,"Genus"
"Patella",3,20,"Genus"
"Patinopecten",1,1,"Genus"
"Pecten",4,18,"Genus"
"Perna",3,5,"Genus"
"Pharus",1,2,"Genus"
"Pinctada",3,12,"Genus"
"Placopecten",1,1,"Genus"
"Polititapes",2,NA,"Genus"
"Pseudamussium",1,4,"Genus"
"Pteria",1,26,"Genus"
"Rapana",1,3,"Genus"
"Rochia",1,NA,"Genus"
"Ruditapes",2,4,"Genus"
"Saccostrea",1,6,"Genus"
"Saxidomus",1,3,"Genus"
"Scrobicularia",1,2,"Genus"
"Semele",1,39,"Genus"
"Semicassis",2,10,"Genus"
"Siliqua",1,14,"Genus"
"Sinistrofulgur",1,NA,"Genus"
"Sinonovacula",1,1,"Genus"
"Solen",3,30,"Genus"
"Spisula",5,14,"Genus"
"Spondylus",2,50,"Genus"
"Stramonita",1,7,"Genus"
"Strombus",1,33,"Genus"
"Tagelus",1,7,"Genus"
"Tawera",1,7,"Genus"
"Tegillarca",1,1,"Genus"
"Tivela",1,12,"Genus"
"Tonna",1,18,"Genus"
"Trachycardium",1,26,"Genus"
"Tresus",1,3,"Genus"
"Tridacna",5,8,"Genus"
"Tritia",2,NA,"Genus"
"Turbo",2,32,"Genus"
"Venerupis",1,7,"Genus"
"Venus",2,8,"Genus"
"Ylistrum",1,NA,"Genus"
"Zidona",1,1,"Genus"
"Zygochlamys",2,1,"Genus"
