class,family,genus,sci_name,comm_name,Paralytic,Amnesic,Diarrhetic,Cyanotoxin,Neurotoxic,Ciguatera,Azaspiracid,Other
Ascidiacea,Pyuridae,Pyura,Pyura chilensis,Red sea squirt,1,NA,NA,NA,NA,NA,NA,NA
Bivalvia,Cardiidae,Acanthocardia,Acanthocardia tuberculata,Rough cockle,1,NA,NA,NA,NA,NA,NA,NA
Bivalvia,Cardiidae,Cerastoderma,Cerastoderma edule,Common cockle,2,NA,NA,NA,NA,NA,NA,NA
Bivalvia,Cyrenidae,Corbicula,Corbicula fluminea,Asian clam,NA,NA,NA,1,NA,NA,NA,NA
Bivalvia,Donacidae,Donax,Donax trunculus,Abrupt wedge shell,1,NA,1,NA,NA,NA,NA,NA
Bivalvia,Hiatellidae,Panopea,Panopea globosa,Geoduck clam,1,NA,NA,NA,NA,NA,NA,NA
Bivalvia,Mactridae,Spisula,Spisula solida,Surf clam,1,NA,NA,NA,NA,NA,NA,NA
Bivalvia,Mactridae,Spisula,Spisula solidissima,Atlantic surfclam,1,NA,NA,NA,NA,NA,NA,NA
Bivalvia,Mesodesmatidae,Paphies,Paphies australis,Pipi clam,NA,NA,NA,NA,NA,NA,NA,1
Bivalvia,Myidae,Mya,Mya arenaria,Soft-shell clam,1,1,NA,NA,NA,NA,NA,NA
Bivalvia,Mytilidae,Aulacomya,Aulacomya atra,Chilean ribbed mussel,1,NA,NA,NA,NA,NA,NA,NA
Bivalvia,Mytilidae,Geukensia,Geukensia demissa,Atlantic ribbed mussel,NA,NA,1,NA,NA,NA,NA,1
Bivalvia,Mytilidae,Mytella,Mytella guyanensis,Trinidad swamp mussel,NA,NA,1,NA,NA,NA,NA,NA
Bivalvia,Mytilidae,Mytilus,Mytilus californianus,California mussel,1,1,NA,1,NA,NA,NA,NA
Bivalvia,Mytilidae,Mytilus,Mytilus chilensis,Chilean mussel,3,NA,NA,NA,NA,NA,NA,1
Bivalvia,Mytilidae,Mytilus,Mytilus coruscus,Korean hard-shelled mussel,1,NA,NA,NA,NA,NA,NA,NA
Bivalvia,Mytilidae,Mytilus,Mytilus edulis,Blue mussel,7,5,10,6,NA,NA,1,6
Bivalvia,Mytilidae,Mytilus,Mytilus galloprovincialis,Mediterranean mussel,9,NA,5,3,NA,NA,NA,NA
Bivalvia,Mytilidae,Mytilus,Mytilus spp.,Mussels,1,NA,NA,NA,NA,NA,1,1
Bivalvia,Mytilidae,Perna,Perna canaliculus,Green-lipped mussel,1,NA,NA,NA,NA,NA,NA,1
Bivalvia,Mytilidae,Perna,Perna perna,Brown mussel,NA,NA,1,NA,NA,NA,NA,NA
